epoch,batch_step,example_num,eval_split,MSE,SSIM,CUSTOM
1,558,558,training set,76.49647651729174,0.7730126143501366,354.2109375
1,558,558,holdout set,81.57804524502717,0.7730589446880458,357.3659362792969
2,1116,1116,training set,71.48917320423061,0.8204557753955442,341.9645690917969
2,1116,1116,holdout set,69.27851935673971,0.8233613535143149,342.5497436523437
3,1674,1674,training set,64.87344837049022,0.8165460909731337,342.77520751953125
3,1674,1674,holdout set,65.379505311721,0.8216936005082971,341.56396484375
4,2232,2232,training set,66.18193838751176,0.7927027258192538,325.31494140625
4,2232,2232,holdout set,70.12370444758562,0.7888197411666624,330.8468017578125
5,2790,2790,training set,68.21568897226825,0.820768761907857,341.6757202148437
5,2790,2790,holdout set,67.36064108973369,0.8189947418468364,340.06396484375
6,3348,3348,training set,74.04968588694464,0.69864638885565,339.6063842773437
6,3348,3348,holdout set,76.11540210183011,0.6990273994274503,341.5562744140625
7,3906,3906,training set,66.47348453773884,0.8301420344687358,331.23876953125
7,3906,3906,holdout set,60.80094140098663,0.8298994501565176,316.6972045898437
8,4464,4464,training set,64.0805566466588,0.8510768595260743,314.23492431640625
8,4464,4464,holdout set,60.01397368789185,0.8498628315683163,315.22540283203125
9,5022,5022,training set,61.95783582259901,0.835794782389712,316.055908203125
9,5022,5022,holdout set,66.0935223728884,0.830807233154701,321.9836120605469
10,5580,5580,training set,59.925815447597415,0.8484186153764313,308.2914733886719
10,5580,5580,holdout set,60.27482921359479,0.8490037244773703,306.1048889160156
11,6138,6138,training set,61.11251221678685,0.8412433296907693,307.6251220703125
11,6138,6138,holdout set,62.81048541449127,0.8405770677272812,307.9013671875
12,6696,6696,training set,61.40131383424159,0.8412271404376952,303.5355224609375
12,6696,6696,holdout set,60.222815444518346,0.844377978835837,300.633056640625
13,7254,7254,training set,64.32215310214087,0.8330676420509917,310.508544921875
13,7254,7254,holdout set,65.4284739822906,0.8355142973141483,310.08154296875
14,7812,7812,training set,63.02576130739181,0.8129651950366679,309.59197998046875
14,7812,7812,holdout set,63.83633545570774,0.8127363358507864,316.99786376953125
15,8370,8370,training set,67.4568021671148,0.7978400538167989,322.94873046875
15,8370,8370,holdout set,62.38261351874098,0.7988939699534967,314.57574462890625
16,8928,8928,training set,67.50439515250036,0.7260264134988574,324.2981872558594
16,8928,8928,holdout set,66.46352083870443,0.7174370905936485,320.23687744140625
17,9486,9486,training set,63.200920768256765,0.8404930213182524,304.2515869140625
17,9486,9486,holdout set,63.19132273065043,0.8402884131792234,309.0382385253906
18,10044,10044,training set,62.071064462303184,0.8367495109050651,307.9361877441406
18,10044,10044,holdout set,62.2094302221376,0.8368592790066032,311.2189025878906
19,10602,10602,training set,84.83921944215399,0.8185441429741331,329.31201171875
19,10602,10602,holdout set,86.33290739432414,0.8187112793457345,328.5780639648437
20,11160,11160,training set,63.09356857766397,0.7400811292918661,308.2464599609375
20,11160,11160,holdout set,65.28719464020105,0.7374333853031203,311.6748046875
21,11718,11718,training set,57.87715789541835,0.8454278078424977,310.1322631835937
21,11718,11718,holdout set,64.5488983298419,0.8434066901681945,318.4125366210937
22,12276,12276,training set,57.9833710915409,0.8599284500232898,291.2841186523437
22,12276,12276,holdout set,57.98331204706483,0.8576720272103557,294.53094482421875
23,12834,12834,training set,59.294893538346514,0.8482793060647964,294.15008544921875
23,12834,12834,holdout set,60.06302017890266,0.8484282869249,296.0587463378906
24,13392,13392,training set,58.78951330278505,0.8615123217823566,300.9540405273437
24,13392,13392,holdout set,57.89088764949702,0.8606832515652059,297.6081848144531
25,13950,13950,training set,64.33014650014229,0.8410832491645124,302.8106689453125
25,13950,13950,holdout set,58.648763855409925,0.8444720173902169,296.8592529296875
26,14508,14508,training set,56.76041980669834,0.8487096072494751,303.4408569335937
26,14508,14508,holdout set,57.327193385048304,0.8479469210360548,299.125244140625
27,15066,15066,training set,61.978288800484734,0.8467251859619864,307.1299133300781
27,15066,15066,holdout set,58.45769617438782,0.8517844117013738,294.9324645996094
28,15624,15624,training set,58.28641696393606,0.8528624362879782,293.31072998046875
28,15624,15624,holdout set,58.22198093956104,0.8567595360000269,297.92120361328125
29,16182,16182,training set,57.13498743099626,0.8597916482394794,287.7333374023437
29,16182,16182,holdout set,56.65039042010904,0.8595536533393897,283.0985412597656
30,16740,16740,training set,62.55494708291371,0.857927351968101,290.6048583984375
30,16740,16740,holdout set,56.18403189648234,0.8637908464006614,293.25848388671875
31,17298,17298,training set,60.73081547941547,0.8695251844910672,287.6889343261719
31,17298,17298,holdout set,57.19474017576431,0.8700230098402244,282.3409729003906
32,17856,17856,training set,58.24055915244389,0.8482917912297125,294.0649719238281
32,17856,17856,holdout set,58.56046722165775,0.8460164591851935,296.93310546875
33,18414,18414,training set,56.94630826002685,0.8548553611908574,299.5447692871094
33,18414,18414,holdout set,58.19388844582136,0.857316866167821,297.85797119140625
34,18972,18972,training set,61.03595878280976,0.8534388370899251,289.70416259765625
34,18972,18972,holdout set,58.306533817754826,0.8565576277760556,286.3729248046875
35,19530,19530,training set,57.32586992122378,0.8519419364602072,289.8799133300781
35,19530,19530,holdout set,57.8176149984356,0.8489057634797064,292.30645751953125
36,20088,20088,training set,57.310057224327466,0.8560012016059773,290.3773193359375
36,20088,20088,holdout set,57.08164452904021,0.8593337961210636,286.767822265625
37,20646,20646,training set,59.02697623899439,0.8529080673142744,293.1808776855469
37,20646,20646,holdout set,58.46692238142714,0.8528812317745178,289.2408752441406
38,21204,21204,training set,56.26666586258216,0.8706720339578169,289.9417724609375
38,21204,21204,holdout set,51.42424068966648,0.8730917927023256,286.3920288085937
39,21762,21762,training set,61.00282885717024,0.8627931728988187,290.0043334960937
39,21762,21762,holdout set,57.21907955998904,0.8647606636513956,282.1800231933594
40,22320,22320,training set,54.40448868222302,0.8699902949447278,277.58453369140625
40,22320,22320,holdout set,52.35851237119641,0.8727472189857508,278.5292663574219
41,22878,22878,training set,59.237083146530495,0.8421661875909194,285.5741882324219
41,22878,22878,holdout set,59.55354964323488,0.8378173101482389,288.27716064453125
42,23436,23436,training set,59.42243508505635,0.8352399250143208,292.7189636230469
42,23436,23436,holdout set,62.2039237493882,0.830886711133644,297.2358703613281
